roll_deg,pitch_deg,yaw_deg
-2.99,0.69,-1.37
-3.00,0.71,-1.34
-3.02,0.68,-1.29
-3.05,0.64,-1.24
-3.09,0.58,-1.20
-3.11,0.47,-1.10
-3.10,0.35,-0.97
-3.12,0.28,-0.89
3.14,0.20,-0.82
3.13,0.12,-0.78
3.13,0.04,-0.78
3.14,-0.01,-0.78
3.14,-0.04,-0.79
3.14,-0.05,-0.79
3.13,-0.05,-0.79
3.13,-0.05,-0.79
3.13,-0.05,-0.79
3.13,-0.05,-0.78
3.13,-0.05,-0.77
3.13,-0.05,-0.77
3.13,-0.06,-0.76
3.14,-0.07,-0.76
3.14,-0.08,-0.76
-3.14,-0.09,-0.76
-3.14,-0.10,-0.76
-3.14,-0.11,-0.76
-3.14,-0.11,-0.76
-3.14,-0.12,-0.76
-3.14,-0.12,-0.76
