roll_deg,pitch_deg,yaw_deg
2.88,0.48,-1.79
2.86,0.48,-1.76
2.83,0.45,-1.68
2.76,0.38,-1.64
2.67,0.28,-1.62
2.57,0.11,-1.52
2.54,-0.03,-1.38
2.55,-0.10,-1.20
2.56,-0.09,-1.07
2.57,-0.07,-0.95
2.58,-0.05,-0.84
2.67,-0.04,-0.77
2.79,-0.05,-0.73
2.85,-0.08,-0.71
2.88,-0.10,-0.69
2.88,-0.11,-0.68
2.89,-0.10,-0.66
2.88,-0.10,-0.65
2.88,-0.10,-0.65
2.88,-0.10,-0.64
2.88,-0.10,-0.63
2.88,-0.10,-0.62
2.88,-0.10,-0.61
2.88,-0.10,-0.60
2.88,-0.10,-0.59
2.88,-0.10,-0.59
2.88,-0.11,-0.59
2.88,-0.11,-0.59
2.88,-0.11,-0.59
2.88,-0.11,-0.59
2.88,-0.12,-0.59
