roll_deg,pitch_deg,yaw_deg
-2.62,0.24,-1.33
-2.51,0.23,-1.33
-2.43,0.17,-1.36
-2.36,0.10,-1.38
-2.34,0.09,-1.38
-2.38,0.10,-1.36
-2.52,0.12,-1.31
-2.68,0.09,-1.26
-2.82,0.08,-1.23
-2.99,0.06,-1.19
-3.10,0.04,-1.15
3.13,0.03,-1.13
3.04,0.02,-1.08
2.98,0.01,-1.04
2.91,0.01,-1.00
2.85,-0.00,-0.97
2.84,-0.00,-0.95
2.84,-0.00,-0.94
2.83,0.00,-0.91
2.83,0.01,-0.90
2.83,0.02,-0.89
2.82,0.03,-0.88
2.82,0.03,-0.88
2.82,0.03,-0.87
2.82,0.03,-0.87
2.82,0.04,-0.88
2.82,0.04,-0.87
2.82,0.03,-0.87
2.82,0.02,-0.87
2.83,0.02,-0.87
2.83,0.01,-0.87
2.83,0.01,-0.87
2.83,0.01,-0.87
