roll_deg,pitch_deg,yaw_deg
2.71,0.12,-0.90
2.69,0.10,-0.90
2.69,0.08,-0.91
2.69,0.08,-0.92
2.69,0.08,-0.93
2.69,0.09,-0.94
2.69,0.10,-0.95
2.69,0.10,-0.95
2.69,0.10,-0.97
2.69,0.10,-0.98
2.69,0.10,-0.98
2.69,0.10,-0.98
2.69,0.10,-0.98
2.69,0.10,-0.97
2.70,0.10,-0.97
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
2.70,0.10,-0.96
