roll_deg,pitch_deg,yaw_deg
-2.93,0.17,-1.92
-2.93,0.15,-1.92
-2.94,0.15,-1.90
-2.95,0.17,-1.84
-2.95,0.17,-1.73
-2.98,0.17,-1.59
-3.00,0.15,-1.44
-3.04,0.12,-1.31
-3.06,0.09,-1.24
-3.11,0.07,-1.15
3.10,0.06,-1.08
3.05,0.05,-1.03
3.03,0.03,-1.00
3.01,0.02,-0.95
2.99,-0.00,-0.90
2.96,-0.01,-0.88
2.93,-0.00,-0.87
2.92,-0.01,-0.86
2.92,-0.01,-0.85
2.92,-0.01,-0.85
2.92,-0.00,-0.85
2.92,-0.01,-0.85
2.92,-0.01,-0.84
2.90,-0.01,-0.84
2.90,-0.01,-0.85
2.89,-0.00,-0.85
2.89,0.00,-0.85
2.89,-0.01,-0.85
2.89,-0.01,-0.85
