roll_deg,pitch_deg,yaw_deg
2.85,-0.10,-0.66
2.91,-0.07,-0.62
2.97,-0.07,-0.60
3.00,-0.09,-0.55
3.00,-0.09,-0.55
3.02,-0.10,-0.54
3.02,-0.09,-0.53
3.02,-0.09,-0.53
3.02,-0.07,-0.53
3.03,-0.07,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.02,-0.06,-0.53
3.07,-0.04,-0.69
-3.06,0.04,-1.19
-3.04,0.05,-1.27
-3.05,0.02,-1.27
-3.05,0.02,-1.27
