roll_deg,pitch_deg,yaw_deg
-2.04,0.11,-1.35
-1.99,0.10,-1.36
-2.00,0.11,-1.30
-2.12,0.12,-1.14
-2.40,0.19,-1.03
-2.66,0.18,-1.01
-2.87,0.13,-1.00
-3.04,0.05,-0.98
3.11,0.05,-0.94
3.04,0.05,-0.92
3.01,0.05,-0.91
3.00,0.05,-0.90
2.99,0.06,-0.89
2.99,0.06,-0.88
2.99,0.06,-0.88
3.00,0.05,-0.87
3.00,0.05,-0.87
3.00,0.06,-0.87
3.00,0.06,-0.86
3.00,0.06,-0.86
3.00,0.06,-0.85
3.00,0.06,-0.85
3.00,0.05,-0.84
3.01,0.04,-0.84
3.01,0.04,-0.84
3.00,0.05,-0.84
3.00,0.05,-0.84
3.00,0.05,-0.84
3.00,0.06,-0.84
3.00,0.06,-0.84
