roll_deg,pitch_deg,yaw_deg
-2.91,0.33,-1.47
-2.90,0.33,-1.47
-2.72,0.45,-1.47
-2.70,0.47,-1.43
-2.79,0.47,-1.37
-2.88,0.46,-1.37
3.08,0.35,-1.34
3.05,0.33,-1.33
2.84,0.17,-1.26
2.77,0.03,-1.17
2.77,-0.03,-1.13
2.77,-0.06,-1.10
2.76,-0.06,-1.09
2.77,-0.07,-1.09
2.77,-0.07,-1.09
2.77,-0.08,-1.09
2.77,-0.08,-1.09
2.77,-0.08,-1.09
2.77,-0.08,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
2.77,-0.06,-1.09
