roll_deg,pitch_deg,yaw_deg
-2.60,0.52,-1.29
-2.40,0.55,-1.22
-2.16,0.56,-1.17
-2.03,0.56,-1.15
-1.98,0.56,-1.14
-1.93,0.55,-1.14
-1.91,0.51,-1.10
-1.94,0.45,-1.02
-2.01,0.40,-0.96
-2.21,0.44,-0.93
-2.57,0.46,-0.99
-2.95,0.40,-1.08
3.12,0.29,-1.08
2.99,0.18,-1.05
2.92,0.12,-1.00
2.89,0.10,-0.98
2.88,0.09,-0.97
2.87,0.10,-0.96
2.87,0.10,-0.96
2.88,0.09,-0.95
2.89,0.07,-0.94
2.90,0.06,-0.94
2.90,0.05,-0.94
2.91,0.04,-0.94
2.91,0.04,-0.95
2.91,0.03,-0.95
2.91,0.03,-0.95
2.91,0.03,-0.94
2.92,0.02,-0.94
2.92,0.02,-0.94
2.92,0.02,-0.94
2.92,0.02,-0.94
2.93,0.01,-0.94
2.93,0.01,-0.94
