roll_deg,pitch_deg,yaw_deg
-2.35,0.06,-1.03
-2.36,0.09,-0.96
-2.40,0.12,-0.89
-2.56,0.12,-0.83
-2.81,0.11,-0.84
-3.11,0.05,-0.97
2.97,-0.02,-1.05
2.84,-0.08,-1.10
2.79,-0.03,-1.10
2.76,0.01,-1.08
2.75,-0.00,-1.08
2.76,-0.05,-1.08
2.78,-0.09,-1.08
2.80,-0.13,-1.08
2.80,-0.15,-1.07
2.79,-0.15,-1.06
2.77,-0.15,-1.05
2.76,-0.13,-1.04
2.76,-0.13,-1.04
2.76,-0.13,-1.04
2.77,-0.15,-1.04
2.78,-0.16,-1.04
2.78,-0.17,-1.04
2.78,-0.17,-1.04
2.78,-0.17,-1.04
2.78,-0.17,-1.04
2.78,-0.17,-1.03
2.77,-0.18,-1.03
2.77,-0.18,-1.03
2.77,-0.18,-1.03
2.77,-0.18,-1.03
