roll_deg,pitch_deg,yaw_deg
-2.22,0.24,-1.61
-2.02,0.19,-1.71
-1.96,0.17,-1.76
-1.95,0.16,-1.77
-1.97,0.16,-1.77
-2.07,0.21,-1.75
-2.21,0.25,-1.69
-2.36,0.28,-1.63
-2.65,0.37,-1.58
-2.76,0.39,-1.56
-2.87,0.38,-1.51
-3.03,0.28,-1.38
-3.13,0.20,-1.31
3.04,0.13,-1.25
2.96,0.09,-1.20
2.93,0.07,-1.16
2.92,0.05,-1.11
2.91,0.03,-1.07
2.90,0.03,-1.03
2.90,0.02,-1.00
2.89,0.02,-0.97
2.88,0.01,-0.94
2.87,0.00,-0.92
2.86,-0.00,-0.90
2.85,-0.01,-0.89
2.84,-0.01,-0.89
2.84,-0.02,-0.88
2.84,-0.02,-0.88
2.85,-0.03,-0.88
2.85,-0.03,-0.88
2.85,-0.04,-0.88
2.85,-0.04,-0.88
