roll_deg,pitch_deg,yaw_deg
-3.08,0.20,-1.36
-3.08,0.21,-1.36
3.08,0.13,-1.23
2.94,0.04,-1.14
2.87,0.01,-1.09
2.81,-0.01,-1.05
2.77,-0.01,-1.00
2.75,-0.03,-0.96
2.75,-0.04,-0.94
2.75,-0.05,-0.91
2.75,-0.05,-0.91
2.75,-0.05,-0.89
2.75,-0.05,-0.88
2.75,-0.04,-0.87
2.75,-0.04,-0.86
2.74,-0.02,-0.85
2.74,-0.01,-0.84
2.74,-0.00,-0.84
2.74,0.01,-0.84
2.74,0.01,-0.84
2.74,-0.00,-0.85
2.74,-0.03,-0.85
2.75,-0.04,-0.85
2.75,-0.05,-0.85
2.75,-0.06,-0.85
2.75,-0.06,-0.85
2.75,-0.07,-0.85
2.75,-0.07,-0.85
2.75,-0.07,-0.85
2.75,-0.07,-0.85
2.75,-0.06,-0.85
