roll_deg,pitch_deg,yaw_deg
2.75,0.11,-1.08
2.70,0.07,-1.03
2.63,-0.01,-0.91
2.62,-0.02,-0.88
2.62,-0.04,-0.85
2.61,-0.10,-0.82
2.62,-0.12,-0.81
2.64,-0.13,-0.80
2.70,-0.15,-0.79
2.74,-0.15,-0.79
2.81,-0.16,-0.78
2.83,-0.16,-0.77
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
2.83,-0.16,-0.76
