roll_deg,pitch_deg,yaw_deg
-2.94,0.78,-1.64
-2.94,0.78,-1.76
-2.93,0.77,-1.85
-2.93,0.73,-1.91
-2.93,0.66,-1.94
-2.94,0.55,-1.95
-2.96,0.44,-1.92
-2.98,0.28,-1.82
-3.00,0.16,-1.68
-3.04,0.11,-1.54
-3.07,0.08,-1.42
3.13,0.04,-1.23
3.06,0.00,-1.09
3.03,-0.03,-1.00
2.99,-0.07,-0.95
2.97,-0.09,-0.90
2.96,-0.10,-0.87
2.96,-0.09,-0.85
2.96,-0.08,-0.83
2.95,-0.06,-0.82
2.95,-0.03,-0.80
2.94,-0.01,-0.78
2.92,-0.01,-0.76
2.91,-0.01,-0.75
2.90,0.00,-0.74
2.89,0.01,-0.73
2.89,0.01,-0.73
2.89,0.01,-0.73
2.89,0.01,-0.73
