shoulder_pan_angle,shoulder_lift_angle,elbow_angle,wrist1_angle,wrist2_angle,wrist3_angle,end_eff_x,end_eff_y,end_eff_z,end_eff_roll,end_eff_pitch,end_eff_yaw,end_eff_w,end_eff_xq,end_eff_yq,end_eff_zq
-1.6449831167804163,-1.5682162300548335,-0.914029598236084,-1.673232217828268,1.0486170053482056,1.1666550636291504,-9.466377628271633,233.25119168639276,1079.2319008820107,-1.5704706145102663,0.03814469277004492,-0.010399025004302958,0.7071538523631307,-0.7067833499552204,0.01716270816477032,0.009806465342353434
-1.5308745543109339,-1.5800453625121058,-0.9704535603523254,-1.642933031121725,1.0480073690414429,1.1538596153259277,-9.687511836103342,233.22539111679623,1079.2328471156952,-1.5704662374246543,0.03817083780119523,-0.008417999533931436,0.707145201413847,-0.7067982402760574,0.016471887628882013,0.010516110401653617
-1.3408973852740687,-1.587461610833639,-1.0380759239196777,-1.5993768177428187,1.056350827217102,1.2202211618423462,-10.089288076397027,233.1830261984019,1079.2357631520142,-1.570458230364769,0.03961956313660641,-0.004955977657809278,0.7071200749231191,-0.7068116353937518,0.015760600278167503,0.012252150488962978
-1.1788180510150355,-1.5954657993712367,-1.0773838758468628,-1.5857488117613734,1.0866416692733765,1.2988840341567993,-10.615881310493009,233.14983089018605,1079.237089284718,-1.5704426584351638,0.041300752528752996,-0.0015974706111060776,0.7070924555690518,-0.7068191030359714,0.015168131178457602,0.014033625950069592
-0.9982541243182581,-1.6129938564696253,-1.137891173362732,-1.5643540050699194,1.217888355255127,1.4199472665786743,-11.376935583413038,233.11108836651002,1079.2403400521482,-1.570391892502829,0.043789479753927746,0.0038472048711993595,0.7070491612284542,-0.7068228093899366,0.014124193151315308,0.01683766314192871
-0.856337849293844,-1.6204682789244593,-1.2188730239868164,-1.5169230078211804,1.2996172904968262,1.5474926233291626,-11.603270486693297,233.07382559220767,1079.2454805243492,-1.5703543727036722,0.04646997223283242,0.007752920002845657,0.7070031324055506,-0.7068180760905348,0.01369192556490818,0.019165313844010167
-0.7481430212603968,-1.6214949093260707,-1.338600754737854,-1.4404581201127549,1.3882497549057007,1.6468247175216675,-11.31906776222673,233.0384267613078,1079.253437559354,-1.5703063047511454,0.04893988168419638,0.011190999294730435,0.706960414371922,-0.7068076415871769,0.013350660573696271,0.02125300372416382
-0.6775558630572718,-1.6311451397337855,-1.452266812324524,-1.3465835017016907,1.4903345108032227,1.7058696746826172,-11.125509873267719,233.01416319183272,1079.2579594133115,-1.5702656391688892,0.05014644316335874,0.014206865091492207,0.7069283370702197,-0.7068050629840966,0.012711911542969476,0.02274503225112699
-0.6415866057025355,-1.6578337154784144,-1.5419025421142578,-1.2336865824512024,1.5690299272537231,1.7304996252059937,-11.262503189931037,233.00337680723928,1079.2555299304768,-1.5702615314530182,0.04970410855090222,0.01620830187083781,0.7069118444721215,-0.7068186132035381,0.011848232171219691,0.023296170682483634
-0.6266673246966761,-1.6924878559508265,-1.6054327487945557,-1.1344986718944092,1.6168736219406128,1.7369738817214966,-11.58797844651382,233.00102051501779,1079.2488509674959,-1.5702799193296013,0.04858996860491932,0.017302729519822282,0.7069055788681383,-0.7068377582689669,0.01106727209960619,0.02328951563852004
-0.6234615484820765,-1.7285949192442835,-1.6428450345993042,-1.0735286933234711,1.6432039737701416,1.7354189157485962,-12.009384672376468,233.00351354357332,1079.2405762336284,-1.570301429073085,0.047521672576980194,0.017817112808039486,0.7069044028551271,-0.7068538911539671,0.01050747663051917,0.023094040776592044
-0.6228912512408655,-1.7640911541380824,-1.6694636344909668,-1.0169467490962525,1.6559133529663086,1.7339777946472168,-12.471654528687962,233.00775852616133,1079.231448127759,-1.5703306751268604,0.046354402661579475,0.018047471790969737,0.7069048103051159,-0.706871391805666,0.010012977395497764,0.022763235663808182
-0.6228273550616663,-1.7996155224242152,-1.6849615573883057,-0.9626049560359498,1.6600887775421143,1.734333872795105,-13.009053667504617,233.01337373823665,1079.2213753563121,-1.5703671647540247,0.04506315823657162,0.01811978867729417,0.7069056584082759,-0.7068909448015389,0.009530423938180353,0.022332785036983372
-0.6227801481830042,-1.8372556171812953,-1.6892797946929932,-0.9230085176280518,1.6651172637939453,1.735573410987854,-13.652025089618016,233.02009639494838,1079.2102363195484,-1.5704029015968768,0.04381262817440231,0.018206788791063747,0.7069059025121202,-0.7069097857423842,0.009057096499272284,0.021921879896226716
-0.621899429951803,-1.8708297214903773,-1.6857905387878418,-0.8938978475383301,1.6788439750671387,1.738089680671692,-14.297224021478875,233.02615475824473,1079.199885504172,-1.570433543244312,0.04270199229526252,0.018460408012109953,0.7069044026621332,-0.7069266250064341,0.008574406154543687,0.021619248668769953
-0.6057713667498987,-1.8983069858946742,-1.6744508743286133,-0.8798868221095582,1.6933708190917969,1.7573742866516113,-14.949397441521075,233.0275799259176,1079.1909283006935,-1.5704576826548529,0.04211686107812704,0.018994513622633522,0.7068964223852688,-0.7069398424748197,0.008178459939010754,0.02160138730754759
-0.5899508635150355,-1.9279934368529261,-1.6674315929412842,-0.8670417827418824,1.7061055898666382,1.770622730255127,-15.593424779526847,233.0287555282092,1079.1811536785453,-1.57048091452108,0.04148357408758812,0.0194919884420602,0.7068896766128221,-0.7069525623266215,0.007778442214464412,0.021553550861988832
-0.5808756987201136,-1.95233215908193,-1.6667897701263428,-0.8437329691699524,1.7194265127182007,1.7836588621139526,-16.088938834034817,233.0302401631634,1079.172806987265,-1.570503769053076,0.0408685953736308,0.01988199023424029,0.7068840187821569,-0.7069644573603423,0.007422890537564166,0.021474187194195745
-0.578735653554098,-1.9705902538695277,-1.6696107387542725,-0.8284775775722046,1.7251594066619873,1.7895050048828125,-16.40203298079124,233.0324142303763,1079.166627536913,-1.5705189384467604,0.04043515798327701,0.020018807014841506,0.7068818341712246,-0.7069719052303471,0.0072211086309940465,0.021369448374669423
-0.57910663286318,-1.9918071232237757,-1.6770310401916504,-0.8007534307292481,1.728433609008789,1.7911632061004639,-16.73018811726608,233.03568103653595,1079.1591936341022,-1.570540294111436,0.039739739937651584,0.02006862743233889,0.7068811470740209,-0.7069820928102326,0.006957382894147347,0.021141409135729587
-0.5796292463885706,-2.010629793206686,-1.6836611032485962,-0.7819481653026124,1.7330601215362549,1.7907782793045044,-17.01303378258654,233.03847370422434,1079.1527321034089,-1.5705559884787434,0.039192233689558174,0.02013963036375962,0.7068806166161092,-0.7069897561656432,0.006738530989611148,0.02097309536944257
-0.5797932783709925,-2.0218717060484828,-1.6901435852050781,-0.7751158040812989,1.7382657527923584,1.7911492586135864,-17.15749726188931,233.03971698098968,1079.1492297088587,-1.5705614100992047,0.0389964648549807,0.020227409715759374,0.7068798316600428,-0.7069926201350799,0.006638224712283412,0.02093496213212137
-0.5798209349261683,-2.025170465508932,-1.6949571371078491,-0.7728162568858643,1.7402145862579346,1.7915232181549072,-17.176221690964805,233.03981306866945,1079.1484209455937,-1.570561563110423,0.038989293455273834,0.02026093512846618,0.7068795016552079,-0.706992809128609,0.006623836340172205,0.020944277792799504
